Category,Card
Resource Tokens Reform (Red),Fact+AC0-checking system earns national trust. (+AC0-1)
Resource Tokens Reform (Red),Language inclusion program bridges divides. (+AC0-2)
Resource Tokens Reform (Red),Global education fund supports innovation. (+AC0-1)
Resource Tokens Reform (Red),Decentralized power grid increases resilience. (+AC0-2)
Resource Tokens Reform (Red),City cleanup campaign inspires youth. (+AC0-1)
Resource Tokens Reform (Red),Mobile clinics bring care to rural zones. (+AC0-2)
Resource Tokens Reform (Red),Open source transparency platform launched. (+AC0-1)
Resource Tokens Reform (Red),Water purification kits save lives. (+AC0-2)
Resource Tokens Reform (Red),Farm co+AC0-ops feed displaced populations. (+AC0-3)
Resource Tokens Reform (Red),Restorative justice program reduces prison population. (+AC0-2)
Resource Tokens Reform (Red),Civil liberties bill passes amid unrest. (+AC0-1)
Resource Tokens Reform (Red),Open data initiative increases transparency. (+AC0-2)
Resource Tokens Reform (Red),Human rights watchdog granted oversight powers. (+AC0-2)
Resource Tokens Reform (Red),Post+AC0-conflict truth commission fosters healing. (+AC0-3)
Resource Tokens Reform (Red),Youth climate program gets national funding. (+AC0-2)
Resource Tokens Reform (Red),Civic tech platform empowers local communities. (+AC0-1)
Resource Tokens Reform (Red),Decentralized governance model piloted. (+AC0-2)
Resource Tokens Reform (Red),Cross+AC0-party agreement strengthens public trust. (+AC0-2)
Resource Tokens Reform (Red),Emergency powers allow rapid disaster response. (+AC0-3)
Resource Tokens Reform (Red),Population elects leaders promising austerity. (x2 multiplier)
Resource Tokens Reform (Red),Massive investment in green infrastructure. (+AC0-2)
Resource Tokens Reform (Red),Universal basic income pilot program gains support. (+AC0-1)
Resource Tokens Reform (Red),Cross+AC0-party agreement strengthens public trust. (+AC0-2)
Resource Tokens Reform (Red),Emergency powers allow rapid disaster response. (+AC0-3)
Resource Tokens Reform (Red),Population elects leaders promising austerity. (x2 multiplier)
Resource Tokens Reform (Red),Massive investment in green infrastructure. (+AC0-2)
Resource Tokens Reform (Red),Universal basic income pilot program gains support. (+AC0-1)
Resource Tokens Reform (Red),Cross+AC0-party agreement strengthens public trust. (+AC0-2)
Resource Tokens Reform (Red),Emergency powers allow rapid disaster response. (+AC0-3)
Resource Tokens Reform (Red),Population elects leaders promising austerity. (x2 multiplier)
Resource Tokens Reform (Red),Massive investment in green infrastructure. (+AC0-2)
Resource Tokens Reform (Red),Universal basic income pilot program gains support. (+AC0-1)
Resource Tokens Reform (Red),Cross+AC0-party agreement strengthens public trust. (+AC0-2)
Resource Tokens Reform (Red),Emergency powers allow rapid disaster response. (+AC0-3)
Resource Tokens Reform (Red),Public sector pay freeze approved. (Reduce unrest by 4)
Resource Tokens Reform (Red),Landmark infrastructure bill passed. (Reduce unrest by 6+ADs- hold and play on a future turn)
Resource Tokens Reform (Red),Debt restructuring deal signed. (Reduce unrest by 5)
Resource Tokens Reform (Red),National unity movement gains momentum. (Reduce unrest by 7)
Resource Tokens Reform (Red),+ACI-Election Reform Act implemented. (Hold for 3 turns to reduce unrest by 8, or play immediately for 3)+ACI-
Resource Tokens Reform (Red),Universal basic services piloted. (Reduce unrest by 4)
Resource Tokens Reform (Red),Whistleblower protections strengthened. (Reduce unrest by 2)
Resource Tokens Reform (Red),Emergency budget restores trust. (Reduce unrest by 5)
